,title,number_of_ratings,year_of_release,rating,director
183,Alaston satama,158137,1954,8.1,Elia Kazan
184,Gone Girl,1005115,2014,8.1,David Fincher
185,Mansikkapaikka,109690,1957,8.1,Ingmar Bergman
186,Kenraali,93598,1926,8.1,Clyde Bruckman
187,Barry Lyndon,173096,1975,8.1,Stanley Kubrick
188,Isän nimeen,179360,1993,8.1,Jim Sheridan
189,John Wick: Chapter 4,138857,2023,8.1,Chad Stahelski
190,Kauriinmetsästäjä,345828,1978,8.1,Michael Cimino
191,Hacksaw Ridge - aseeton sotilas,546370,2016,8.1,Mel Gibson
192,Kolmas mies,174965,1949,8.1,Carol Reed
193,Pelon palkka,62978,1953,8.1,Henri-Georges Clouzot
194,Memories of murder,194439,2003,8.1,Bong Joon Ho
195,Wild tales,204315,2014,8.1,Damián Szifron
196,Kovaa kyytiä ja kaunottaria,52097,1924,8.1,Buster Keaton
197,Mr. Smith lähtee Washingtoniin,117361,1939,8.1,Frank Capra
198,Mad Max: Fury Road,1026088,2015,8.1,George Miller
199,Mary and Max.,180364,2009,8.1,Adam Elliot
200,Näin koulutat lohikäärmeesi,758364,2010,8.1,Dean DeBlois
201,Seitsemäs sinetti,189302,1957,8.1,Ingmar Bergman
202,Monsterit Oy,928758,2001,8.1,Pete Docter
203,Kuolleiden runoilijoiden seura,507328,1989,8.1,Peter Weir
204,Tappajahai,621304,1975,8.1,Steven Spielberg
205,Room,430409,2015,8.1,Lenny Abrahamson
206,Big Lebowski,824670,1998,8.1,Joel Coen
207,Tokyo Story,63825,1953,8.1,Yasujirô Ozu
208,Jeanne d'Arcin kärsimys,57044,1928,8.1,Carl Theodor Dreyer
209,Le Mans 66 - Täydellä teholla,414595,2019,8.1,James Mangold
210,Hotelli Ruanda,361191,2004,8.0,Terry George
211,Rocky,596110,1976,8.0,John G. Avildsen
212,Rottatouille,762218,2007,8.0,Brad Bird
213,Platoon - nuoret sotilaat,422246,1986,8.0,Oliver Stone
214,Spotlight,480648,2015,8.0,Tom McCarthy
215,Logan,783929,2017,8.0,James Mangold
216,Terminator - tuhoaja,882641,1984,8.0,James Cameron
217,Stand by me - viimeinen kesä,415677,1986,8.0,Rob Reiner
218,Rush,489587,2013,8.0,Ron Howard
219,Network,163007,1976,8.0,Sidney Lumet
220,Rakkautta ennen auringonlaskua,272742,2004,8.0,Richard Linklater
221,Erämaan armoille,633567,2007,8.0,Sean Penn
222,Ihmemaa Oz,409043,1939,8.0,Victor Fleming
223,Parhaat vuodet,66834,1946,8.0,William Wyler
224,Manaaja,419433,1973,8.0,William Friedkin
225,Päiväni murmelina,648457,1993,8.0,Harold Ramis
226,Ihmeperhe,758067,2004,8.0,Brad Bird
227,Ollako vai eikö olla,39431,1942,8.0,Ernst Lubitsch
228,Viha,180474,1995,8.0,Mathieu Kassovitz
229,Pirates of the Caribbean - Mustan helmen kirous,1149753,2003,8.0,Gore Verbinski
230,Hachiko - Tarina uskollisuudesta,293733,2009,8.0,Lasse Hallström
231,Taistelu Algeriasta,62190,1966,8.0,Gillo Pontecorvo
232,Tien laulu,34808,1955,8.0,Satyajit Ray
233,Vihan hedelmät,95836,1940,8.0,John Ford
234,Babam ve Oglum,88005,2005,8.0,Çagan Irmak
235,Amores perros,244844,2000,8.0,Alejandro G. Iñárritu
236,Jai Bhim,206125,2021,8.0,T.J. Gnanavel
237,Rebekka,140437,1940,8.0,Alfred Hitchcock
238,The Handmaiden,155889,2016,8.0,Park Chan-wook
239,Lannistumaton Luke,181123,1967,8.0,Stuart Rosenberg
240,Sound of Music,243715,1965,8.0,Robert Wise
241,Tapahtuipa eräänä yönä,106898,1934,8.0,Frank Capra
242,400 kepposta,121682,1959,8.0,François Truffaut
243,Naisen naamio - Persona,123121,1966,8.0,Ingmar Bergman
244,Monty Python: Brianin elämä,407787,1979,8.0,Terry Jones
245,Rautajätti,207698,1999,8.0,Brad Bird
246,Piiat,470907,2011,8.0,Tate Taylor
247,Aladdin,434345,1992,8.0,Ron Clements
248,Tanssii susien kanssa,275245,1990,8.0,Kevin Costner
249,Dersu Uzala,31712,1975,8.0,Akira Kurosawa
